Field,ID,Type (種類),default,en,ja,fr,de,zh-cn,zh-tw,ko,ru,it,es,pt,hi,ar,id,th,vi,tr,uk,en-us,nl,sv,pl
MobileScreenshotCaption30,279,テキスト,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshot1,300,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshot2,301,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshot3,302,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshot4,303,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshot5,304,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshot6,305,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshot7,306,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshot8,307,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshot9,308,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshot10,309,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshot11,310,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshot12,311,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshot13,312,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshot14,313,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshot15,314,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshot16,315,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshot17,316,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshot18,317,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshot19,318,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshot20,319,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshot21,320,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshot22,321,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshot23,322,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshot24,323,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshot25,324,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshot26,325,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshot27,326,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshot28,327,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshot29,328,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshot30,329,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshotCaption1,350,テキスト,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshotCaption2,351,テキスト,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshotCaption3,352,テキスト,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshotCaption4,353,テキスト,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshotCaption5,354,テキスト,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshotCaption6,355,テキスト,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshotCaption7,356,テキスト,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshotCaption8,357,テキスト,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshotCaption9,358,テキスト,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshotCaption10,359,テキスト,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshotCaption11,360,テキスト,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshotCaption12,361,テキスト,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshotCaption13,362,テキスト,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshotCaption14,363,テキスト,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshotCaption15,364,テキスト,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshotCaption16,365,テキスト,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshotCaption17,366,テキスト,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshotCaption18,367,テキスト,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshotCaption19,368,テキスト,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshotCaption20,369,テキスト,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshotCaption21,370,テキスト,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshotCaption22,371,テキスト,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshotCaption23,372,テキスト,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshotCaption24,373,テキスト,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshotCaption25,374,テキスト,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshotCaption26,375,テキスト,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshotCaption27,376,テキスト,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshotCaption28,377,テキスト,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshotCaption29,378,テキスト,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshotCaption30,379,テキスト,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshot1,400,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshot2,401,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshot3,402,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshot4,403,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshot5,404,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshot6,405,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshot7,406,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshot8,407,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshot9,408,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshot10,409,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshot11,410,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshot12,411,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshot13,412,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshot14,413,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshot15,414,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshot16,415,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshot17,416,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshot18,417,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshot19,418,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshot20,419,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshot21,420,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshot22,421,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshot23,422,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshot24,423,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshot25,424,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshot26,425,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshot27,426,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshot28,427,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshot29,428,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshot30,429,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption1,450,テキスト,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption2,451,テキスト,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption3,452,テキスト,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption4,453,テキスト,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption5,454,テキスト,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption6,455,テキスト,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption7,456,テキスト,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption8,457,テキスト,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption9,458,テキスト,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption10,459,テキスト,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption11,460,テキスト,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption12,461,テキスト,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption13,462,テキスト,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption14,463,テキスト,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption15,464,テキスト,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption16,465,テキスト,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption17,466,テキスト,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption18,467,テキスト,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption19,468,テキスト,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption20,469,テキスト,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption21,470,テキスト,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption22,471,テキスト,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption23,472,テキスト,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption24,473,テキスト,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption25,474,テキスト,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption26,475,テキスト,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption27,476,テキスト,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption28,477,テキスト,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption29,478,テキスト,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption30,479,テキスト,,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshot11,510,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshot12,511,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshot13,512,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshot14,513,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshot15,514,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshot16,515,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshot17,516,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshot18,517,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshot19,518,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshot20,519,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshot21,520,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshot22,521,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshot23,522,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshot24,523,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshot25,524,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshot26,525,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshot27,526,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshot28,527,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshot29,528,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshot30,529,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption11,560,テキスト,,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption12,561,テキスト,,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption13,562,テキスト,,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption14,563,テキスト,,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption15,564,テキスト,,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption16,565,テキスト,,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption17,566,テキスト,,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption18,567,テキスト,,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption19,568,テキスト,,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption20,569,テキスト,,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption21,570,テキスト,,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption22,571,テキスト,,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption23,572,テキスト,,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption24,573,テキスト,,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption25,574,テキスト,,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption26,575,テキスト,,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption27,576,テキスト,,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption28,577,テキスト,,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption29,578,テキスト,,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption30,579,テキスト,,,,,,,,,,,,,,,,,,,,,,,
StoreLogo720x1080,600,相対パス (またはパートナー センターにあるファイルへの URL),,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493121/listingassets/3043423826543782931,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493123/listingassets/3010589554109409940,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493125/listingassets/3014705885530886238,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493127/listingassets/3016009895919552663,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493129/listingassets/3030128870903254965,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493131/listingassets/3050863030676303179,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493133/listingassets/3053612313673928690,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493135/listingassets/3027398124728936023,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493137/listingassets/3063372692535250091,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493139/listingassets/3023435808024315724,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493141/listingassets/3031957942598299291,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493143/listingassets/3066410100551846490,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493145/listingassets/3036693047769084251,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493147/listingassets/3043981578423504697,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493569/listingassets/3003615948330736596,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493567/listingassets/3070023518692391425,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493541/listingassets/3032706190455134687,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493543/listingassets/3036344410602419382,,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700025673523/listingassets/3043423826543782931,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700025673525/listingassets/3043423826543782931,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700025673527/listingassets/3043423826543782931
StoreLogo1080x1080,601,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
StoreLogo300x300,602,相対パス (またはパートナー センターにあるファイルへの URL),,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493121/listingassets/3027749037761973524,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493123/listingassets/3062206251990010605,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493125/listingassets/3037090013195771195,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493127/listingassets/3005891148394387358,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493129/listingassets/3064638466154207210,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493131/listingassets/3059924598660803812,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493133/listingassets/3064412016803728612,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493135/listingassets/3021436845145650317,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493137/listingassets/3060559459772070637,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493139/listingassets/3043356279058287353,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493141/listingassets/3035116828102369659,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493143/listingassets/3058149014660465030,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493145/listingassets/3036288085968981177,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493147/listingassets/3051306141305382086,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493569/listingassets/3064820062864400585,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493567/listingassets/3039110959093553095,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493541/listingassets/3070851785661805342,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493543/listingassets/3029074181606862829,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700024762023/listingassets/3017326622342566195,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700025673523/listingassets/3027749037761973524,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700025673525/listingassets/3027749037761973524,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700025673527/listingassets/3027749037761973524
OverrideLogosForWin10,603,True/False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
StoreLogoOverride150x150,604,相対パス (またはパートナー センターにあるファイルへの URL),,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493121/listingassets/3016880364074529401,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493123/listingassets/3039376976664715723,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493125/listingassets/3024100974265553455,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493127/listingassets/3072012270697239064,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493129/listingassets/3054407902209744952,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493131/listingassets/3028786020008199532,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493133/listingassets/3040773804786945851,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493135/listingassets/3064851039839926861,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493137/listingassets/3048065690433121837,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493139/listingassets/3032426653679128707,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493141/listingassets/3034371265587313010,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493143/listingassets/3004496290482618576,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493145/listingassets/3040785133303606375,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493147/listingassets/3069784003402716304,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493569/listingassets/3021830705303535370,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493567/listingassets/3058806828612543835,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493541/listingassets/3025726990644176723,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493543/listingassets/3071971685647950247,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700024762023/listingassets/3044800806916634891,,,
